!SIL SIL
<NOISE> SIL
<SPOKEN_NOISE> SIL
<unk> SIL
A	ei
無    bh u
無名	u m ing
無奈	u n ai
無尾熊    bh or bh ue h im
無情    bh or z ing
無效    bh or h au
無數	u sh u
無法	u f a
無線	u s ien
無聊	u l iau
無聊    bh or l iau
無論	u l un
無論     m g uan
無論    bh or l un
無關	u g uan
無限	u s ien
焦	z iau
焦    d a
焦點	z iau d ien
焯	zh uo
焰	ien
焱	ien
然	rh an
然後	rh an h ou
然後    r en  au
然而	rh an err
煇	h uei
煉	l ien
煌	h uang
煎	z ien
煎    z en
煒	uei
煙	ien
煙斗    h un c ue
煙火     en h ue
煜	yu
煞	sh a
煢	c iong
煤	m ei
煥	h uan
煦	s yu
照	zh au
照    z ior
照到    z ior d iorh
照片	zh au p ien
照片    s iong p inn
照顧	zh au g u
照顧    b or h o
照顧    z iau g o
煨	uei
煩	f an
煩    h uan
煩惱	f an n au
煩惱    h uan l or
煬	iang
煮	zh u
煮食    z u z iah
煮飯    z u b ng
煲	b au
煽	sh an
熄	s i
熊	s iong
熒	ing
熔	rh ong
熗	c iang
熙	s i
熟	sh u
熟    s ik
熟悉	sh ou s i
熟悉	sh u s i
熠	i
熨	yun
熬	au
熱	rh er
熱    r uah
熱情	rh er c ing
熱愛	rh er ai
熱水    s ior z ui
熱烈	rh er l ie
熱熱    s ior s ior
熱門	rh er m ern
熱鬧	rh er n au
熱鬧    l au r et
熹	s i
熾	ch ii
燁	ie
燃	rh an
燃    h iann
燄	ien
燈	d ng
燈    d ing
燈光	d ng g uang
燈光    d ing h ue
燈籠    g o  a d ing
燉	d un
燊	sh ern
燎	l iau
燐	l in
燒	sh au
燒    h iann
燒    s ior
燔	f an
燕	ien
燙	t ang
燜	m ern
營	ing
營業	ing ie
營造	ing z au
營運	ing yun
營養	ing iang
燠	yu
燥	z au
燦	c an
燧	s uei
燬	h uei
燭	zh u
燮	s ie
燴	h uei
燹	s ien
燻	s yun
燼	z in
燾	t au
燿	iau
爆	b au
爆炸	b au zh a
爆發	b au f a
爍	sh uo
爐	l u
爛	l an
爪	zh au
爬	p a
爬    b e
爭	zh ng
爭取	zh ng c yu
爭議	zh ng i
爰	yuan
爵	z yue
父	f u
父    h u
父母	f u m u
父母    b e bh u
父親	f u c in
父親     a b ah
父親     a d ia
父親    l au b e
爸	b a
爸    b ah
爸    b e
爸爸	b a b a
爸爸     a b ah
爸爸     a d ia
爸爸    b a b ah
爸爸    l au b e
爹	d ie
爺	ie
爺爺     a g ong
爻	iau
爽	sh uang
爽    s ong
爽快    s ong k uai
爾	err
爾    n ia
牆	c iang
牆    b iah
牆    c iunn
片	p ien
片    b ing
片    p en
片    p inn
片段	p ien d uan
版	b an
版本	b an b ern
版權	b an c yuan
牌	p ai
牒	d ie
牘	d u
牙	ia
牙齒	ia ch ii
牙齒    c ui k i
牛	n iou
牛    gh u
牛奶	n iou n ai
牛奶    gh u l ing
牛肉	n iou rh ou
牛車    gh u c ia
牝	p in
牟	m ou
牡	m u
牢	l au
牧	m u
牧師	m u sh ii
牧童    bh ok d ong
物	u
物    m ih
物件	u z ien
物品	u p in
物品    m ih g iann
物理	u l i
物質	u zh ii
牯	g u
牲	sh ng
牴	d i
特	t er
特價	t er z ia
特別	t er b ie
特別    d ik b et
特別    d ik s u
特區	t er c yu
特地	t er d i
特地    z uan g ang
特定	t er d ing
特徵	t er zh ng
特性	t er s ing
特性    s ing g eh
特殊	t er sh u
特殊    d ik s u
特派    d ik p ai
特色	t er s er
特色    d ik s ik
特質	t er zh ii
特點	t er d ien
牽	c ien
牽    k an
牾	u
犀	s i
犁	l i
犍	z ien
犒	k au
犖	l uo
犢	d u
犧	s i
犧牲	s i sh ng
犧牲    h i s ing
犬	c yuan
犬    g au
犯	f an
犯    h uan
犯人    h uan l ang
犯罪	f an z uei
犰	c iou
犽	ia
狀	zh uang
狀元    z iong gh uan
狀態	zh uang t ai
狀況	zh uang k uang
狀況    z ong h ong
狂	k uang
狄	d i
狎	s ia
狐	h u
狒	f ei
狗	g ou
狗    g au
狗    g au  a
狙	z yu
狟	h uan
狠	h ern
狠    h iong
狠    s at
狡	z iau
狩	sh ou
狷	z yuan
狸	l i
狹	s ia
狹     eh
狻	s uan
狼	l ang
狽	b ei
猊	n i
猖	ch ang
猗	i
猙	zh ng
猛	m ng
猛    bh ing
猜	c ai
猜     iorh
猝	c u
猥	uei
猩	s ing
猴	h ou
猴    g au
猶	iou
猶     iau
猷	iou
猻	s un
猼	b uo
猾	h ua
猿	yuan
獃	d ai
獄	yu
獅	sh ii
獅    s ai
獎	z iang
獎勵	z iang l i
獎金	z iang z in
獐	zh ang
獒	au
獗	z yue
獠	l iau
獨	d u
獨    d ok
獨家	d u z ia
獨家    d ok g a
獨特	d u t er
獨立	d u l i
獰	n ing
獲	h uo
獲利	h uo l i
獲得	h uo d er
獵	l ie
獷	g uang
獸	sh ou
獺	t a
獻	s ien
獼	m i
獾	h uan
玄	s yuan
率	l yu
率	sh uai
玉	yu
玉米    h uan bh eh
玉蘭花    gh iok l an h ue
王	uang
王     ong
王妃     ong h ui
王子	uang z ii
王府     ong h u
王爺     ong  ia
玎	d ing
玖	z iou
玟	m in
玠	z ie
玢	b in
玥	yue
玦	z yue
玨	z yue
玩	uan
玩    c it t or
玩    s ng
玩具	uan z yu
玩家	uan z ia
玫	m ei
玫瑰	m ei g uei
玭	p i
玲	l ing
玳	d ai
玷	d ien
玻	b uo
玻璃	b uo l i
玻璃    b or l e
珀	p uo
珂	k er
珅	sh ern
珈	z ia
珊	sh an
珍	zh ern
珍惜	zh ern s i
珍惜    d in s iorh
珍貴	zh ern g uei
珙	g ong
珞	l uo
珠	zh u
珠寶	zh u b au
珣	s yun
珥	err
珩	h ng
珪	g uei
班	b an
班    b an
珮	p ei
現	s ien
現今	s ien z in
現今    h en c u s i
現代	s ien d ai
現代    h en d ai
現在	s ien z ai
現在    bh ok z en
現在    d ann
現在    h en c u s i
現在    h en z ai
現在    z it m a
現在    z it z un
現場	s ien ch ang
現場    h en d iunn
現實	s ien sh ii
現實    h en s it
現時	s ien sh ii
現時    h en s i
現有	s ien iou
現象	s ien s iang
現金	s ien z in
球	c iou
球    g iu
球員	c iou yuan
球場	c iou ch ang
球隊	c iou d uei
琅	l ang
理	l i
理念	l i n ien
理性	l i s ing
理想	l i s iang
理想    l i s iong
理由	l i iou
理由    d or l i
理解	l i z ie
理論	l i l un
理財	l i c ai
琇	s iou
琉	l iou
琊	ie
琍	l i
琛	ch ern
琢	zh uo
琤	ch ng
琥	h u
琦	c i
琨	k un
琪	c i
琬	uan
琮	c ong
琯	g uan
琰	ien
琲	b ei
琳	l in
琴	c in
琵	p i
琶	p a
琺	f a
琿	h un
瑀	yu
瑁	m au
瑁	m ei
瑄	s yuan
瑋	uei
瑕	s ia
瑗	yuan
瑙	n au
瑚	h u
瑛	ing
瑜	yu
瑞	rh uei
瑞士	rh uei sh ii
瑟	s er
瑢	rh ong
瑣	s uo
瑤	iau
瑩	ing
瑪	m a
瑭	t ang
瑯	l ang
瑰	g uei
瑱	t ien
瑾	z in
璀	c uei
璁	c ong
璃	l i
璇	s yuan
璉	l ien
璊	m ern
璋	zh ang
璐	l u
璘	l in
璜	h uang
璞	p u
璟	z ing
璠	f an
璣	z i
璦	ai
璧	b i
璨	c an
璩	c yu
環	h uan
環保	h uan b au
環保    k uan b or
環境	h uan z ing
環境    k uan g ing
璺	un
璽	s i
璿	s yuan
瓊	c iong
瓏	l ong
瓔	ing
瓚	z an
瓜	g ua
瓠	h u
瓢	p iau
瓣	b an
瓤	rh ang
瓦	ua
瓮	ung
瓴	l ing
瓶	p ing
瓷	c ii
瓿	p ou
甄	zh ern
甌	ou
甑	z ng
甕	ung
甘	g an
甘    g am
甘甜    g am d inn
甘蔗    g am z ia
甚	sh ern
甚至	sh ern zh ii
甚至    s im z i
甚麼	sh er m uo
甚麼	sh ern m er
甚麼    s iann h ue
甜	t ien
甜    d inn
甜年糕    d inn g ue
甜甜    d inn d inn
甜蜜	t ien m i
甜點	t ien d ien
生	sh ng
生    s enn
生    s ing
生命	sh ng m ing
生命    s enn m ia
生存	sh ng c un
生存    s ing  uah
生意	sh ng i
生意    s ing l i
生態	sh ng t ai
生態    s ing t ai
生日	sh ng rh ii
生日    s enn r it
生死    s enn s i
生氣	sh ng c i
生氣    s iu k i
生活	sh ng h uo
生活    r it z i
生活    s ing  uah
生涯	sh ng ia
生物	sh ng u
生理	sh ng l i
生產	sh ng ch an
生產    s ing s an
生病    p ua b enn
生肖    s enn s iunn
生長	sh ng zh ang
產	ch an
產品	ch an p in
產品    s an p in
產業	ch an ie
產生	ch an sh ng
產生    h uat s ing
甥	sh ng
甦	s u
用	iong
用     ing
用     iong
用來	iong l ai
用來     iong l ai
用力	iong l i
用力    c ut l at
用力    d ua l at
用品	iong p in
用心	iong s in
用心     iong s im
用心    d ing z in
用戶	iong h u
用途	iong t u
用途    l o  ing
用餐	iong c an
甩	sh uai
甫	f u
甬	iong
甭	b ng
甯	n ing
田	t ien
田園    c an h ng
田螺    c an l e
由	iou
由     iu
由於	iou yu
甲	z ia
申	sh ern
申報	sh ern b au
申請	sh ern c ing
男	n an
男    l am
男人	n an rh ern
男人    z a b o
男人    z a b o l ang
男友	n an iou
男女	n an n yu
男子	n an z ii
男孩	n an h ai
男性	n an s ing
男性    l am s ing
男性    z a b o
男生	n an sh ng
男生    g iann
男生    z a b o
甸	d ien
町	t ing
甾	z ii
畀	b i
畈	f an
界	z ie
畏	uei
畔	p an
留	d a
留    l au
留下	l iou s ia
留在	l iou z ai
留學	l iou s yue
留意	l iou i
留意    s e r i
留意    s ior s im
留意    z u  i
留言	l iou ien
畚	b ern
畚箕    b un d au
畜	ch u
畝	m u
畢	b i
畢業	b i ie
畢業    b it gh iap
畢業    c ut gh iap
畢竟	b i z ing
略	l yue
畦	c i
畦	s i
番	f an
番石榴    b uat  a
番茄    g am  a bh it
番薯    h an z i
番薯之聲    h an z i z i s iann
畫	h ua
畫     ue
畫圖     ue d o
畫面	h ua m ien
畬	yu
畯	z yun
異	i
異常	i ch ang
異鄉     i h iong
當	d ang
當    d ng
當    d ong
當下	d ang s ia
當中	d ang zh ong
當中    d ang d iong
當代	d ang d ai
當作	d ang z uo
當做    d ong z or
當初	d ang ch u
當初    d ong c o
當前	d ang c ien
當地	d ang d i
當地    d ong d e
當天	d ang t ien
當局	d ang z yu
當年	d ang n ien
當成	d ang ch ng
當日	d ang rh ii
當時	d ang sh ii
當時    d ang s i  a
當時    d ong s i
當時    h it s i
當然	d ang rh an
當然    d ong r en
畸	z i
畹	uan
畽	t uan
畿	z i
疆	z iang
疇	ch ou
疊	d ie
疏	sh u
疑	i
疑問	i un
疔	d ing
疙	g er
疚	z iou
疝	sh an
疣	iou
疤	b a
疥	z ie
疫	i
疲	p i
疳	g an
疵	c ii
疸	d an
疹	zh ern
疼	t ng
疼    t iann
疼惜    t iann s iorh
疼痛	t ng t ong
疽	z yu
疾	z i
疾病	z i b ing
痂	z ia
病	b ing
病    b enn
病人	b ing rh ern
病患	b ing h uan
病毒	b ing d u
症	zh ng
症狀	zh ng zh uang
痊	c yuan
痍	i
痔	zh ii
痕	h ern
痘	d ou
痙	z ing
痛	t ong
痛    t iann
痛苦	t ong k u
痛苦    g an k o
痛苦    t ong k o
痞	p i
痠	s uan
痠    s ng
痢	l i
痣	zh ii
痤	c uo
痧	sh a
痰	t an
痱	f ei
痲	m a
痴情    c i z ing
痹	b i
痺	b i
痼	g u
痾	er
痿	uei
瘀	yu
瘁	c uei
瘋	f ng
瘋    s iau
瘋狂	f ng k uang
瘍	iang
瘓	h uan
瘕	z ia
瘙	s au
瘞	i
瘟	un
瘠	z i
瘡	ch uang
瘢	b an
瘤	l iou
瘦	sh ou
瘦    s an
瘦皮猴    s an g au
瘦皮猴    s an g au  a
瘧	n yue
瘩	d a
瘰	l uo
瘴	zh ang
瘸	c yue
瘺	l ou
療	l iau
療法	l iau f a
癆	l au
癇	s ien
癈	f ei
癌	ien
癌症	ien zh ng
癒	yu
癖	p i
癘	l i
癜	d ien
癟	b ie
癡	ch ii
癢	iang
癤	z ie
癥	zh ng
癩	l ai
癬	s ien
癭	ing
癮	in
癰	iong
癱	t an
癲	d ien
癸	g uei
登	d ng
登場	d ng ch ang
登記	d ng z i
登記    d ing g i
登錄	d ng l u
發	f a
發    h uat
發出	f a ch u
發動	f a d ong
發動     in k i
發展	f a zh an
發展    h uat d en
發布	f a b u
發揮	f a h uei
發明	f a m ing
發現	f a s ien
發現    h uat h en
發生	f a sh ng
發生    h uat s ing
發票	f a p iau
發行	f a h ang
發行	f a s ing
發表	f a b iau
發覺	f a z yue
發覺    h uat g ak
發覺    h uat h en
發言	f a ien
發音	f a in
白	b ai
白    b eh
白天	b ai t ien
白色	b ai s er
白色    b eh s ik
白菜    b eh c ai
白雲    b eh h un
白鷺鷥    b eh l ing s i
百	b ai
百    b ah
百分之	b ai f ern zh ii
百姓    b eh s enn
百萬	b ai uan
百貨	b ai h uo
皂	z au
的	d er
的	d i
的     e
的確	d i c yue
的確    bh ing bh ing
的話	d er h ua
皆	z ie
皇	h uang
皇上    h ong s iong
皇帝	h uang d i
皇帝    h ong d e
皈	g uei
皋	g au
皎	z iau
皓	h au
皖	uan
皙	s i
皚	ai
皤	p uo
皮	p i
皮    p ue
皮膚	p i f u
皮鞋    p ue  e
皰	p au
皴	c un
皺	zh ou
皿	m in
盂	yu
盅	zh ong
盆	p ern
盈	ing
益	i
盎	ang
盒	h er
盒     ap
盒子     ap  a
盔	k uei
盛	sh ng
盛    d e
盜	d au
盞	zh an
盞    p a
盟	m ng
盡	z in
盡    z in
盡量	z in l iang
盡量    z in l iong
監	z ien
監督	z ien d u
盤	p an
盤    b uann
盥	g uan
盧	l u
盪	d ang
目	m u
目    bh ak
目前	m u c ien
目前    bh ok z en
目前    h en c u s i
目標	m u b iau
目的	m u d i
目錄	m u l u
盯	d ing
盯    g im g im k uann
盱	s yu
盲	m ang
直	zh ii
直    d it
直接	zh ii z ie
直接    d it d it
直接    d it z iap
相	s iang
相    s iong
相    s ior
相互	s iang h u
相似	s iang s ii
相信	s iang s in
相信    s in
相信    s iong s in
相反	s iang f an
相同	s iang t ong
相同    b enn b enn
相同    s ior g ang
相對	s iang d uei
相思    s iunn s i
相會    s iong h ue
相機	s iang z i
相比	s iang b i
相爭    s ior z enn
相片	s iang p ien
相片    s iong p inn
相當	s iang d ang
相當    b ut z i  a
相簿	s iang b u
相處	s iang ch u
相親    s iong c in
相識    s ik s ai
相關	s iang g uan
盹	d un
盼	p an
盾	d un
省	sh ng
省    s ing
眇	m iau
眈	d an
眉	m ei
眉毛    bh ak bh ai
眉開眼笑    c ui c ior bh ak c ior
看	k an
看    g inn
看    k uann
看似	k an s ii
看來	k an l ai
看出	k an ch u
看到	k an d au
看到    k uann d iorh
看完	k an uan
看法	k an f a
看法    s im  i
看看	k an k an
看看    k uann m ai
看破    k uann p ua
看見	k an z ien
看見    k uann g inn
看起來	k an c i l ai
看過	k an g uo
看過    k uann g ue
眕	zh ern
眛	m ei
真	zh ern
真實	zh ern sh ii
真實     u  iann
真實    k ak s it
真心	zh ern s in
真是	zh ern sh ii
真正	zh ern zh ng
真正    s it z ai
真正    z in z iann
真理	zh ern l i
真的	zh ern d er
真的     u  iann
真的    s it z ai
真的    z iann s it
真的    z ing g ing
真相	zh ern s iang
眠	m ien
眥	z ii
眨	zh a
眩	s yuan
眭	s uei
眯	m i
眶	k uang
眷	z yuan
眸	m ou
眺	t iau
眼	ien
眼光	ien g uang
眼前	ien c ien
眼前    bh in t au z ing
眼淚	ien l ei
眼淚    bh ak s ai
眼淚    z u l ui
眼眶    bh ak k o
眼睛	ien z ing
眼睛    bh ak
眼睛    bh ak z iu
眼神	ien sh ern
眼神    gh an s in
眼鏡	ien z ing
眼鏡    bh ak g iann
眾	zh ong
眾    z iong
眾人	zh ong rh ern
眾多	zh ong d uo
眾生	zh ong sh ng
睇	d i
睏	k un
睏    k un
睚	ia
睚	iai
睛	z ing
睜	zh ng
睞	l ai
睡	sh uei
睡眠	sh uei m ien
睡覺	sh uei z iau
睡覺    k un
睢	s uei
督	d u
督    d ok
睥	b i
睦	m u
睨	n i
睪	g au
睫	z ie
睬	c ai
睹	d u
睽	k uei
睿	rh uei
瞄	m iau
瞅	ch ou
瞇	m i
瞋	ch ern
瞌	k er
瞎	s ia
瞑	m ing
瞜	l ou
瞞	m an
瞟	p iau
瞠	ch ng
瞥	p ie
瞧	c iau
瞪	d ng
瞬	sh un
瞬間	sh un z ien
瞭	l iau
瞭解	l iau z ie
瞰	k an
瞳	t ong
瞻	zh an
瞼	z ien
瞿	c yu
矇	m ng
矍	z yue
矓	l ong
矗	ch u
矚	zh u
矛	m au
矛盾	m au d un
矜	z in
矢	sh ii
矣	i
知	zh ii
知    d i
知    z ai
知名	zh ii m ing
知識	zh ii sh ii
知識    d i s ik
知道	zh ii d au
知道     e h iau
知道    bh at
知道    z ai  iann
矩	z yu
短	d uan
短    d e
短期	d uan c i
短片	d uan p ien
短短	d uan d uan
短短    d e d e
矮	ai
矮冬瓜     e  a d ang g ue
矮靈祭     e l ing z e
矯	z iau
石	d an
石	sh ii
石    z iorh
石頭	sh ii t ou
石頭    z iorh t au
石頭輪    z iorh t au l en
矽	s i
砂	sh a
砌	c i
砍	k an
砒	p i
研	ien
研發	ien f a
研究	ien z iou
研究    gh en g iu
研究所	ien z iou s uo
研討會	ien t au h uei
砝	f a
砣	t uo
砥	d i
砦	zh ai
砧	zh ern
砭	b ien
砰	p ng
破	p uo
破    p ua
破壞	p uo h uai
砵	b uo
砷	sh ern
砸	z a
硃	zh u
硅	g uei
硌	l uo
硒	s i
硝	s iau
硤	s ia
硪	er
硫	l iou
硬	ing
硬    ng e
硬碟	ing d ie
硬體	ing t i
硯	ien
硼	p ng
碇	d ing
碉	d iau
碌	l u
碎	s uei
碎碎念    s eh s eh l iam
碑	b ei
碓	d uei
碗	uan
碗     uann
碘	d ien
碚	b ei
碞	ien
碟	d ie
碣	z ie
碧	b i
碩	sh ii
碩	sh uo
碩士	sh uo sh ii
碭	d ang
碰	p ng
碰到	p ng d au
碰到    d u d iorh
碲	d i
碳	t an
碴	ch a
確	c yue
確保	c yue b au
確定	c yue d ing
確定    k ak d ing
確實	c yue sh ii
確實    bh ing bh ing
確實    k ak s it
確實    z in z iann
確認	c yue rh ern
碼	m a
碼頭	m a t ou
碼頭    bh e t au
碾	n ien
磁	c ii
磁磚	t ai l u
磅	b ang
磅    b ong
磊	l ei
磋	c uo
磐	p an
磔	zh er
磕	k er
磚	zh uan
磣	ch ern
磧	c i
磨	m uo
磨     e
磨    l u
磨    l ui
磬	c ing
磯	z i
磴	d ng
磷	l in
磺	h uang
礁	z iau
礁溪    d a k e
礄	c iau
礎	ch u
礙	ai
礦	k uang
礪	l i
礫	l i
礬	f an
礱	l ong
示	sh ii
示範	sh ii f an
礽	rh ng
社	sh er
社區	sh er c yu
社區    s ia k u
社團	sh er t uan
社會	sh er h uei
社會    s ia h ue
社群	sh er c yun
祀	s ii
祁	c i
祆	s ien
祇	c i
祈	c i
祈禱	c i d au
祉	zh ii
祐	iou
祕	m i
祕密    b i bh it
祖	z u
祖先    z o s en
祗	zh ii
祚	z uo
祛	c yu
祜	h u
祝	zh u
祝    z iok
祝福	zh u f u
祝福    z iok h ok
神	sh ern
神    s in
神    s in bh ing
神奇	sh ern c i
神奇    s in g i
神秘	sh ern m i
神秘    s in b i
神經	sh ern z ing
神話	sh ern h ua
祟	s uei
祠	c ii
祥	s iang
票	p iau
票    p ior
祭	z i
祭    z e
祭典    z e d en
祺	c i
祼	g uan
祿	l u
禁	z in
禁止	z in zh ii
禍	h uo
禎	zh ern
福	f u
福    h ok
福利	f u l i
福氣    h ok k i
福音	f u in
禔	t i
禕	i
禛	zh ern
禦	yu
禧	s i
禪	ch an
禮	l i
禮拜	l i b ai
禮拜    l e b ai
禮拜日    l e b ai r it
禮物	l i u
禮貌    l e m au
禰	m i
禱	d au
禱告	d au g au
禳	rh ang
禹	yu
禺	yu
禽	c in
禾	h er
禿	t u
秀	s iou
私	s ii
私人	s ii rh ern
秈	s ien
秉	b ing
秋	c iou
秋    c iu
秋天    c iu t inn
科	k er
科學	k er s yue
科學家	k er s yue z ia
科技	k er z i
科技    k or g i
秒	m iau
秒    bh ior
秕	b i
秘	b i
秘	m i
秘密	m i m i
租	z u
租屋	z u u
秣	m uo
秤	ch ng
秤    b ong
秦	c in
秧	iang
秩	zh ii
秫	sh u
秭	z ii
秸	z ie
移	i
移    s ua
移動	i d ong
移動    d in d ang
移民	i m in
稀	s i
稀罕    h i h an
稅	sh uei
稈	g an
程	ch ng
程序	ch ng s yu
程度	ch ng d u
程式	ch ng sh ii
稍	sh au
稍微	sh au uei
稍微    bh i bh i  a
稍微    s ior k ua
稍微    s ior k ua  a
稍等    s ior d an
稔	rh ern
稗	b ai
稚	zh ii
稜	l ng
稞	k er
稟	b ing
稠	ch ou
種	zh ong
種    z ing
種    z iong
種子	zh ong z ii
種種	zh ong zh ong
種類	zh ong l ei
種類    l o
稰	s yu
稱	ch ng
稱    c ing
稱為	ch ng uei
稷	z i
稹	zh ern
稻	d au
稼	z ia
稽	z i
稿	g au
穀	g u
穆	m u
穌	s u
積	z i
積極	z i z i
穎	ing
穗	s uei
穡	s er
穢	h uei
穩	un
穩     un
穩定	un d ing
穫	h uo
穰	rh ang
穴	s yue
究	z iou
究竟	z iou z ing
究竟    d au d e
穹	c iong
空	k ong
空    k ang
空中	k ong zh ong
空中    k ong d iong
空氣	k ong c i
空氣    k ong k i
空間	k ong z ien
穿	ch uan
穿    c ing
穿    n ng
穿著	ch uan zh uo
突	t u
突然	t u rh an
突然    h iong h iong
突破	t u p uo
窄	zh ai
窄     eh
窈	iau
窒	zh ii
窕	t iau
窖	z iau
窗	ch uang
窗子    t ang  a
窗戶    t ang  a m ng
窘	z iong
窟	k u
窠	k er
窣	s u
窨	in
窩	uo
窪	ua
窮	c iong
窯	iau
窳	yu
窸	s i
窺	k uei
窿	l ong
竄	c uan
竅	c iau
竇	d ou
竊	c ie
立	l i
立刻	l i k er
立刻    l iam m i
立刻    s ui s i
立即	l i z i
立場	l i ch ang
立場    k a b o
立委	l i uei
立法	l i f a
立體	l i t i
竑	h ong
站	zh an
站    k ia
站    z am
站在	zh an z ai
竟	z ing
竟然	z ing rh an
竟然    g ing r en
竟然    s uah
章	zh ang
竣	z yun
童	t ong
竦	s ong
竭	z ie
端	d uan
端    p ang
端午節    gh o r it z eh
競	z ing
競爭	z ing zh ng
競爭    b i s ai
競爭力	z ing zh ng l i
競賽	z ing s ai
竹	zh u
竹子    d ik  a
竺	zh u
竽	yu
竿	g an
笄	z i
笈	z i
笏	h u
笑	s iau
笑    c ior
笑呵呵    c ior h ai h ai
笑咪咪    c ior bh i bh i
笑容	s iau rh ong
笑笑的    c ior c ior  a
笙	sh ng
笛	d i
笞	ch ii
笠	l i
笢	m in
笥	s ii
符	f u
符合	f u h er
符號	f u h au
笨	b ern
笨    gh ong
笪	d a
第	d i
第一	d i i
第一    d e  it
第一    t au
第一名    t au m ia
第七    d e c it
第三	d i s an
第三    d e s ann
第二	d i err
第二    d e l i
第二    d e r i
第五    d e gh o
第八    d e b eh
第四	d i s ii
第四    d e s i
笳	z ia
筆	b i
筆    b it
筆者	b i zh er
筆記	b i z i
筇	c iong
等	d ng
等    d an
等    d ing
等候    d an h au
等到	d ng d au
等到    t ing h au
等待	d ng d ai
等待    d an t ai
等於	d ng yu
等等	d ng d ng
等等    d ing d ing
等級	d ng z i
等級    l iu
筊	z iau
筋	z in
筌	c yuan
筍	s un
筏	f a
筐	k uang
筒	t ong
答	d a
答應	d a ing
答應    d ah  ing
答案	d a an
策	c er
策略	c er l yue
筠	yun
筦	g uan
筧	z ien
筮	sh ii
筱	s iau
筲	sh au
筵	ien
筷	k uai
箅	b i
箋	z ien
箍	g u
箏	zh ng
箐	z ing
箔	b uo
箕	z i
算	s uan
算    s ng
算了	s uan l er
算了    z un d u s uah
算是	s uan sh ii
管	g uan
管    c ap
管    g uan
管制	g uan zh ii
管理	g uan l i
管訓    g uan h un
管道	g uan d au
箬	rh uo
箭	z ien
箱	s iang
箴	zh ern
箸	zh u
箸    d i
節	z ie
節    bh ak
節奏	z ie z ou
節目	z ie m u
節目    z et bh ok
節省	z ie sh ng
節省    k iam
節能	z ie n ng
篁	h uang
範	f an
範圍	f an uei
篆	zh uan
篇	p ien
築	zh u
篋	c ie
篙	g au
篝	g ou
篡	c uan
篤	d u
篥	l i
篦	b i
篩	sh ai
篪	ch ii
篳	b i
篷	p ng
篾	m ie
簇	c u
簌	s u
簍	l ou
簡	z ien
簡介	z ien z ie
簡單	z ien d an
簡單    g an d an
簡直	z ien zh ii
簡訊	z ien s yun
簣	k uei
簧	h uang
簪	z an
簫	s iau
簷	ien
簸	b uo
簽	c ien
簽名	c ien m ing
簽證	c ien zh ng
簾	l ien
簿	b u
簿子    p o  a
籃	l an
籌	ch ou
籍	z i
籐	t ng
籓	f an
籙	l u
籟	l ai
籠	l ong
籤	c ien
籬	l i
籮	l uo
籲	yu
米	m i
米    bh i
米粉    bh i h un
籽	z ii
粉	f ern
粉圓    h un  inn
粉絲	f ern s ii
粑	b a
粒	l i
粒    l iap
粕	p uo
粗	c u
粗    d ua k o
粘	n ien
粘	zh an
粟	s u
粥	zh ou
粱	l iang
粲	c an
粳	g ng
粵	yue
粹	c uei
粼	l in
粽	z ong
精	z ing
精品	z ing p in
精彩	z ing c ai
精心	z ing s in
精神	z ing sh ern
精神    z ing s in
精緻	z ing zh ii
精華	z ing h ua
精選	z ing s yuan
精采	z ing c ai
精靈	z ing l ing
粿	g uo
粿    g ue
糅	rh ou
糊	h u
糊    g o
糕	g au
糖	t ang
糖    t ng
糖廠    t ng c iunn
糗	c iou
糙	c au
糜	m i
糜    m ue
糞	f ern
糟	z au
糟    h ai
糠	k ang
糢	m uo
糧	l iang
糬	sh u
糯	n uo
糰	t uan
系	s i
系列	s i l ie
系統	s i t ong
糾	z iou
紀	z i
紀念	z i n ien
紀錄	z i l u
紂	zh ou
約	yue
約     iok
約    z iann
紅	h ong
紅     ang
紅包     ang b au
紅燈     ang d ing
紅綠燈    c enn  ang d ing
紅色	h ong s er
紅色     ang s ik
紅葉    h ong  iap
紅豆     ang d au
紅通通     ang g i g i
紆	yu
紇	g er
紇	h er
紈	uan
紉	rh ern
紊	un
紋	un
納	n a
紐	n iou
紐約	n iou yue
紓	sh u
純	ch un
純粹	ch un c uei
紕	p i
紗	sh a
紘	h ong
紙	zh ii
紙    z ua
級	z i
級    g ip
紛	f ern
紛紛	f ern f ern
紜	yun
素	s u
紡	f ang
索	s uo
紫	z ii
紮	zh a
累	l ei
累積	l ei z i
細	s i
細節	s i z ie
細胞	s i b au
紳	sh ern
紹	sh au
紺	g an
紿	d ai
絀	ch u
終	zh ong
終於	zh ong yu
終點    z iong d iam
組	z u
組    h u
組合	z u h er
組成	z u ch ng
組織	z u zh ii
絆	b an
絎	h ng
結	z ie
結    g at
結    g et
結合	z ie h er
結婚	z ie h un
結婚    g et h un
結局	z ie z yu
結束	z ie sh u
結束    s uah
結果	z ie g uo
結果    g et g or
結構	z ie g ou
結論	z ie l un
絕	z yue
絕對	z yue d uei
絕對    c en bh an
絕對    z uat d ui
絛	t au
絜	z ie
絞	z iau
絡	l uo
絢	s yuan
給	g ei
給	z i
給予	g ei yu
給予	z i yu
絨	rh ong
絮	s yu
統	t ong
統一	t ong i
統治	t ong zh ii
統計	t ong z i
絲	s ii
絲瓜    c ai g ue
絳	z iang
